&c.	etc.
dan	than
dan-gerous	dangerous
danc'st	dancest
danceth	dances
dancin'	dancing
danglin'	dangling
danish	Danish
dar's	there's
dar'st	darest
daring'st	daringest
darken'd	darkened
darlin	darling
darn't	daren't
dat	that
dat's	that's
daugther	daughter
dauhter-in-law	daughter-in-law
dawg	dog
dawgs	dogs
dawnin'	dawning
day's-wark	day's-work
daz'd	dazed
dazzleth	dazzles
dear'st	dearest
dear-a	dear
dearn	dern
death's-bed	deathbed
death-like	deathlike
death-practised	death-practiced
debateth	debates
debel	devil
debil	devil
debitor	debtor
debuty	deputy
deceiveth	deceives
declar	declare
declin'd	declined
dee	thee
deep-mouthed	deepmouthed
deevil	devil
deevil's	devil's
defeat'st	defeatest
deformed'st	deformedest
deil	devil
deils	devils
deloighted	delighted
demeanor	demeanour
demi-Atlas	demi-atlas
demselves	themselves
demuring	demurring
denayed	denied
deniedst	deniedest
dention	attention
denyin'	denying
depart'st	departest
departed'st	departedest
dependance	dependence
der's	there's
dere	there
dere's	there's
desartless	desertless
desarvin'	deserving
descant'st	descantest
deserv'st	deservest
deservedst	deservedest
desp't	desperately
despatch	dispatch
despatched	dispatched
despiseth	despises
despit	desperately
dest'ny	destiny
destin'd	destined
det	debt
dev'lish	devilish
developes	develops
devil-Dam	devil-dam
devilled	deviled
deviseth	devises
devlish	devilish
devoureth	devours
devourigly	devouringly
dew-lapped	dewlapped
dewoted	devoted
dey'll	they'll
dich	do
dictatin'	dictating
did'nt	didn't
did'st	didst
didna	didn't
diedst	diedest
differency	difference
difficultie	difficulty
digged	dug
diggin'	digging
digt	digged
din't	didn't
ding-dong	dingdong
dinin'-room	dining-room
dinna	don't
dippedst	dippedest
dis	this
dis-stained	disstained
disburthened	disburdened
discern'st	discernest
disclaim'st	dischargest
discolored	discoloured
discourseth	discourses
disdain'st	disdainest
disdaineth	disdains
disembowelled	disemboweled
disgustiug	disgusting
dishevelled	disheveled
dishonor	dishonour
dishonored	dishonoured
dishonoring	dishonouring
disjoint	disjoined
dismall'st	dismallest
dismissd	dismissed
dispises	despises
disponge	dispunge
disputin'	disputing
distill	distil
distills	distils
distrubed	disturbed
divers	diverse
divers-coloured	diverse-coloured
divideth	divides
divil	devil
divil's	devil's
divvle's	devil's
dixonary	dictionary
do'e	do
do'n	don't
doat	dote
doated	doted
doating	doting
doatingly	dotingly
doats	dotes
docketted	docketed
doctorin'	doctoring
doesna	doesn't
doest	dost
doff'd	doffed
dog-hole	doghole
dog-like	doglike
doil'd	doiled
doin'	doing
doins	doings
don'no	don't
donkies	donkeys
donn'd	donned
donno	don't
donno'	don't
donnot	don't
dont	don't
doo's	does
dooant	don't
doom'd	doomed
dooms-day	doomsday
doon	done
doos	does
doosn't	doesn't
doteth	dotes
doth	does
doubt'st	doubtest
dough-Boy	dough-boy
doun	down
doune	down
dout	doubt
dove-cote	dovecote
dove-house	dovehouse
dowle	dowl
down-trod	downtrod
draggin'	dragging
draging	dragging
draw'st	drawest
draweth	draws
drawin'	drawing
dre'ful	dreadful
dreadeth	dreads
dreadin'	dreading
dream'st	dreamest
dreamt	dreamed
drefful	dreadful
dress'd	dressed
dressd	dressed
drest	dressed
drew'st	drewest
drily	dryly
drink'st	drinkest
drinketh	drinks
drinkin	drinking
drinkin'	drinking
driv	driven
driveth	drives
droopeth	droops
droppeth	drops
dropt	dropped
drowing	drowning
drownded	drowned
dry-foot	dryfoot
duchess'	duchess's
duelling	dueling
dulness	dullness
dun	don't
dun-coloured	dun-colored
dunno	don't
dunnot	don't
dunnut	don't
duodecimoes	duodecimos
dureing	during
durs'	dares
durst	dared
durstna	durstn't
dustn't	durstn't
dutch	Dutch
dwelleth	dwells
dwelt	dwelled
dwollers	dwellers
dy'e-call-'em	dy'e-call-'ems
dye	die
dyeing	dying
dyin'	dying
e'en	even
e'er	ever
e'er-remaining	ever-remaining
ear-wax	earwax
earnins	earnings
earth-bound	earthbound
easeth	eases
eated'st	eatedest
eatin	eating
eatin'	eating
eawr	our
eawt	out
eber	ever
ebrew	hebrew'
ech	each
eche	eke
echo'st	echoest
ecstacy	ecstasy
ee	thee
ee've	thee'd
egal	equal
egally	equally
egg-shell	eggshell
egg-shells	eggshells
egma	enigma
eh?	eh
eight-pences	eight-pence
eld	old
eld'st	oldest
eldest	oldest
elightened	enlightened
else's	else
em	them
embattailed	embattled
embowelled	emboweled
embowelling	emboweling
empale	impale
emperial	imperial
emperial's	imperial's
emply	employ
empress'	empress's
en-r-r-r-raged	enraged
enah	enough
enamelled	enameled
encloseth	encloses
encompasseth	encompasses
endeavoring	endeavouring
endeavors	endeavours
endured'st	enduredest
endureth	endures
eneugh	enough
enforced	inforced
enforces	inforces
enforcest	inforcest
enginer	engineer
engirt	engirded
english	English
engraffed	engrafted
engraft	engrafted
enjoineth	enjoins
enlargeth	enlarges
enoo	enough
enoo'	enough
enoof	enough
enought	enough
enow	enough
enpierced	empierced
enquire	inquire
enquired	inquired
enquiring	inquiring
enquiringly	inquiringly
ensnareth	ensnares
ensteeped	insteeped
entail'd	entailed
entent	intent
enter'd	entered
enterance	entrance
entereated	entreated
entertain'st	entertainest
enticeth	entices
entreated	intreated
equalled	equaled
equils	equals
escapedst	escapedest
escapend	escaped
essayeth	essays
esteem'st	esteemest
esteemeth	esteems
estridges	ostriches
ev'n	even
ev'ry	every
even-Christian	even-christian
evenin'	evening
evenue	avenue
ever-during	everduring
ever-living	everliving
evere	ever
everthing	everything
everythin'	everything
everythink	everything
everyways	everyway
everywhar	everywhere
everywheres	everywhere
exalteth	exalts
exceedeth	exceeds
excelleth	excels
exhorter	exhorte
exist'st	existest
expence	expense
expences	expenses
expresseth	expresses
extacy	ecstasy
extasies	ecstasies
extatic	ecstatic
extremitie	extremity
extro'rnary	extraordinary
extry	extra
ey	they
eye-brows	eyebrows
eye-lashes	eyelashes
eye-sore	eyesore
eye-strings	eyestrings
eying	eyeing
eyne	eyes
f'r	for
fa'r	fair
fa'rd	fared
fadeth	fades
faery	fairy
fagots	faggots
fahl	foul
fail'st	failest
failin'	failing
faint-hearted	fainthearted
fair'st	fairest
fairy-land	fairyland
faith-breach	faithbreach
faithfull'st	faithfullest
fall'n	fallen
fall'n-off	fallen-off
fall'st	fallest
falleth	falls
fallin	falling
fallin'	falling
falorous	valorous
false-hearted	falsehearted
falteing	faltering
fam'ly	family
famly	family
fardel	farthel
fardels	farthels
fardingales	farthingales
farm-house	farmhouse
fartuous	virtuous
fast'ned	fastened
fast-Fish	fast-fish
fastidions	fastidious
fat-Cutter	fat-cutter
fathur's	father's
faut's	fault's
favored	favoured
favorite	favourite
fawneth	fawns
fawther	father
fawther's	father's
fay	faith
fear'st	fearest
feard	feared
feareth	fears
fearfnlly	fearfully
fearfull'st	fearfullest
feather-bed	featherbed
fecks	faith
feed'st	feedest
feedeth	feeds
feel'st	feelest
feelin	feeling
feelin'	feeling
feelin's	feelings
fehemently	vehemently
feith	faith
fell'st	fellest
feller	fellow
feller's	fellow's
feller-niggers	fellow-negroes
fellers	fellows
fellow'st	fellowest
fellow-creatur's	fellow-creature's
fellow-creaturs	fellow-creatures
fellow-critters	fellow-creatures
felt'st	feltst
fendin'	fending
ferce	fierce
fery	very
fet	fetched
fetchin'	fetching
fetterin'	fettering
feyther	father
feyther's	father's
fidgetting	fidgeting
fidgetty	fidgety
field-Marshal	field-marshal
field-bed	fieldbed
fiend-like	fiendlike
fifty-pun'	fifty-pound
fight'st	fightest
fighteth	fights
fightin'	fighting
figurin'	figuring
filleth	fills
fillin'	filling
fillys	fillies
fin-Back	fin-back
fin-Back's	fin-back's
fin-Backs	fin-backs
find'st	findest
fingre	finger
fingres	fingers
firago	virago
fire-drake	firedrake
fire-side	fireside
firin'	firing
first-born	firstborn
first-fruits	firstfruits
fish-e	fish
fish-ponds	fishponds
fishermon	fisherman
fishes	fish
fisnomy	physiognomy
fitt'st	fittest
fitteth	fits
five-fold	fivefold
flame-colored	flame-coloured
flap-dragon	flapdragon
flap-jacks	flapjacks
flat-long	flatlong
flatter'st	flatterest
flavored	flavoured
fledgelings	fledglings
fledst	fleddest
fleet'st	fleetest
fler	fellow
fler'll	fellow'll
flieth	flies
floatin'	floating
flood-gate	floodgate
flood-gates	floodgates
flourisheth	flourishes
flourishin'	flourishing
fly-blown	flyblown
flyin'	flying
foamin'	foaming
focative	vocative
foetid	fetid
fole	fool
folks's	folks'
follerer's	follower's
follerers	followers
follow'st	followest
followedst	followedest
folly-fall'n	folly-fallen
foolin	fooling
foolin'	fooling
foot-path	footpath
for'ard	forward
forard	forward
forards	forward
forbad	forbade
forbod	forbad
forborne	forborn
fore-foot	forefoot
fore-going	forgoing
fore-knowledge	foreknowledge
fore-past	forepast
fore-recited	forerecited
fore-thinking	forthinking
forego	forgo
foregoing	forgoing
foregone	forgone
foretel	foretell
forget'st	forgettest
forgetteth	forgets
forgettin'	forgetting
forgi'	forgive
forgi'e	forgive
forgie	forgive
forgiv	forgive
forgoers	foregoers
forgot	forgotten
form'd	formed
forrads	foreheads
forrard	forward
forrenner	foreigner
forsaketh	forsakes
fortni't	fortnight
fortune-teller	fortuneteller
forwards	forward
forwearied	forewearied
fosset-seller	fossett-seller
foster-brethren	foster-brothers
fought'st	foughtest
foul'st	foulest
foul-mouthed	foulmouthed
foul-mouthed'st	foul-mouthedest
fould	fouled
foulks	folks
found'st	foundest
four-in-Hand	four-in-hand
fra	from
fra'	from
frae	from
frail'st	frailest
free-Mason	free-mason
free-hearted	freehearted
freend	friend
french	French
fresh-water	freshwater
fretten	fretted
frettin'	fretting
frever	forever
frolickin'	frolicking
froo	from
froo'	from
frough	from
frown'st	frownest
fructful	fruitful
frutify	fructify
fu'	full
fule's	fool's
fules	fools
full-grown	fullgrown
fulness	fullness
furder	further
furriners	foreigners
furrow'd	furrowed
fussin'	fussing
futher	further
g'uttons	gluttons
gal	girl
gal's	girl's
gallant'st	gallantest
gallopped	galloped
gallopping	galloping
gallowses	gallows
gals	girls
gambolling	gamboling
gar'd	garred
gardon	guerdon
gat	got
gather'd	gathered
gathereth	gathers
gaun	gone
gawded	gauded
gawds	gauds
gay-Head	gay-head
gazeth	gazes
gell	girl
gells	girls
gelt	gelded
gen	gened
gen'ally	generally
gen'l	general
gen'l'man	gentleman
gen'lly	generally
gen'lman's	gentleman's
gen'lmen	gentlemen
gen'ly	generally
geniùs	genius
genlmen	gentlemen
gentilman	gentleman
gentilmans	gentlemen
gentle-woman	gentlewoman
gentleman-like	gentlemanlike
gentlemens	gentlemen
get'st	gettest
geten	got
gether	gather
gethered	gathered
getherin'	gathering
gett'st	gettest
getten	got
gettin	getting
gettin'	getting
gev	give
gi'	give
gi'en	given
gi'es	gives
gi'in	giving
gi'n	given
giant-like	giantlike
gie	give
gie't	give't
gies	gives
gild'st	gildest
gillyvors	gillyflowers
gin'ral	general
gin't	given't
girnning	grinning
girt	girded
git	get
gittin	getting
giv	give
giv'	give
giv'n	given
give-a	give
giveth	gives
givin	giving
givin'	giving
gladden'd	gladdened
glideth	glides
glose	gloze
glow-worm	glowworm
glow-worm's	glow's
glow-worms	glowworms
go'st	goest
goa	go
goan	gone
goas	goes
gobern	govern
god-daughter	goddaughter
goen	gone
goeth	goes
goin	going
goin'	going
goins-on	goings-on
good-by	good-bye
good-natur'd	good-natured
good-will	goodwill
goodness'	goodness's
gooid	good
goot	good
gospelled	gospeled
gossipping	gossiping
gossippings	gossipings
got'st	gottest
goth	goes
gots	gets
gotten	got
governor-General	governor-general
governor-General's	governor-general's
gownd	gown
gownds	gowns
gra-a-anadeers	grenadiers
graff	graft
graft	grafted
graft'st	graftest
gramercies	gramercy
gran	grand
gran'	grand
grand-children	grandchildren
grant'st	grantest
granteth	grants
grat	gratted
grave-maker	gravemaker
grave-stone	gravestone
gravelled	graveled
graven	graved
gray	grey
great'st	greatest
greatness'	greatness's
green-a	green
green-sickness	greensickness
greeteth	greets
grew'st	grewest
grey	gray
greybeards	graybeards
griped	gripped
grisled	grizzled
groaneth	groans
groon	groan
gropin	groping
ground-plot	groundplot
ground-work	groundwork
grovelled	groveled
grovelling	groveling
grow'd	growed
grow'st	growest
groweth	grows
grund	ground
gud	good
gude	good
gudewife	goodwife
guest-wise	guestwise
guid	guide
gulpins	gulpings
guv'ner	governor
gwine	going
ha!	ha
ha'in'	having
ha'ing	having
ha'it	have't
ha'n't	haven't
ha'nt	haven't
ha'penny	halfpenny
ha'porth	halfpenny-worth
ha'porths	halfpennyworths
ha't	have't
had'nt	hadn't
hadna	hadn't
hae	have
hae't	have't
hagh	how
hah	how
hahse	house
hahsiver	howsoever
hahsomdiver	howsoever
hain't	haven't
haint	haven't
hair's-breadth'	hair's-breadth's
hair-breadth	hairbreadth
half-moon	halfmoon
half-pence	halfpennies
halfpence	halfpennies
hallo	halloa
halloing	hallowing
hallow-Mass	hallow-mass
hame	home
han	have
han't	haven't
hand-fast	handfast
hand-writing	handwriting
handicrafts-men	handicraftsmen
handkercher	handkerchief
handkerchers	handkerchiefs
hang'st	hangest
hang-Ho	hang-ho
hangeth	hangs
hangin'	hanging
hanna	haven't
hany	any
hap'orth	halfpenny-worth
hap-hazard	haphazard
happed	happened
har'st	harvest
harbor	harbour
hard-handed	hardhanded
hare-brained	harebrained
hare-lip	harelip
harvest-man	harvestman
hasna	hasn't
haste-posthaste	haste-post-haste
hasteth	hastes
hatchin'	hatching
hateth	hates
hauding	holding
hauf	half
hav'n't	haven't
haveing	having
havena	haven't
havin	having
havin'	having
haviour	behaviour
havn't	haven't
hay-Seed	hay-seed
hazle	hazel
he'ld	he'd
head-aches	headaches
head-piece	headpiece
head-pieces	headpieces
head-spring	headspring
head-stall	headstall
headach	headache
headachs	headaches
headlongs	headlong
headstone	headstone's
healeth	heals
heap'st	heapest
hear'st	hearest
heard'st	heardest
heareth	hears
hearin	hearing
hearken	harken
hearkenin'	hearkening
hearkening	harkening
hearn	heard
heart-ache	heartache
heart-break	heartbreak
heart-burning	heartburning
heart-grief	heartgrief
heart-sore	heartsore
heart-string	heartstring
heart-struck	heartstruck
heaveth	heaves
heavy-headed	heavyheaded
heawse	house
heedfull'st	heedfullest
heelin'	heeling
heerd	heard
heern	heard
heggs	eggs
heighth	height
heigth	heighth
hell-born	hellborn
hell-hound	hellhound
hell-hounds	hellhounds
help'd	helped
help'st	helpest
helpin'	helping
helter-Skelter	helter-skelter
hemp-seed	hempseed
henderin'	hindering
her's	hers
herb-woman	herbwoman
herdmen	herdsmen
hereabouts	hereabout
hereself	herself
hersel	herself
hersel'	herself
hersell	herself
hersen	herself
heself	himself
hev	have
hevn't	haven't
hey	heigh
hey-day	heyday
hielands	highlands
high'st	highest
high-born	highborn
high-swoln	high-swollen
highness'	highness's
hild	held
hilloa	hillo
himsel	himself
himsell	himself
his'n	his
hissel	himself
hisself	himself
hisseln	himself
hist'ry	history
hitherwards	hitherward
ho!	ho
hoary-headed	hoaryheaded
hobby-horse	hobbyhorse
hof-Marschall	hof-marschall
hoise	hoist
hoised	hoist
hoisted	hoist
hold'st	holdest
hold-fast	holdfast
holden	held
holdeth	holds
holdin'	holding
holla'd	hallowed
hollaing	hallowing
holloa	hallow
holloa'd	hallowed
hollodays	holidays
hollow-hearted	hollowhearted
holp	helped
holp'st	helpedest
holydays	holidays
home-bred	homebred
homewards	homeward
homlets	omelettes
hond	hound
honey-bees	honeybees
honey-drops	honeydrops
honor	honour
honorable	honourable
honored	honoured
honoring	honouring
honors	honours
honour'd	honoured
hoo	ho
hoo'd	who'd
hoo's	who's
hoo-Hall	hoo-hall
hood-wink'd	hoodwinked
hopless	hopeless
hopp'd	hopped
hoppin'	hopping
horrud	horrid
horse-Guards	horse-guards
horse-Quarter	horse-quarter
horse-hairs	horsehairs
horse-leeches	horseleeches
horse-shoe	horseshoe
horse-tail	horsetail
horse-way	horseway
hoss	horse
hosses	horses
hostess'	hostess's
hot-house	hothouse
hould	hold
houlerying	hollering
hour-glass	hourglass
hous'ever	howsoever
house-room	houseroom
hove	heaved
hove-to	heaved-to
howd	hold
howe	how
howe'er	however
howiver	however
howl'st	howlest
hows'ever	howsoever
howsever	howsoever
howsoe'er	howsoever
howsome'er	howsoever
howsomever	howsoever
hoyday	heyday
hugger-mugger	huggermugger
humble-bee	humblebee
humor	humour
humors	humours
humph!	humph
hunch-backed	hunchbacked
hunteth	hunts
huntress'	huntress's
hup	up
hup'ards	upwards
hupstarts	upstarts
hurricanoes	hurricanes
hurtin'	hurting
hush'd	hushed
huswifery	housewifery
hve	have
hwhat's	what's
hæ	have
i'	I
i'faith	faith
i'ii	I'll
i'stid	instead
i'th'	i'th
ice-brook's	ice's
idee	idea
idle-headed	idleheaded
ilbow	elbow
ile	oil
ilka	ilk
ill-headed	ill-head
ill-natur'd	ill-natured
ill-ta'en	ill-taken
illhumour	ill-humour
illumineth	illumines
impanelled	impaneled
impanneled	impaneled
imparteth	imparts
imperilled	imperiled
impinge	impinging
importancy	importance
importeth	imports
impudency	impudence
in-deed	indeed
in-doors	indoors
incardinate	incarnate
inch-meal	inchmeal
inclose	enclose
inclosed	enclosed
inclosing	enclosing
inclosures	enclosures
incommóded	incommoded
increaseth	increases
incumbrance	encumbrance
incumbrances	encumbrances
incuring	incurring
indrenched	endrenched
indue	endue
indued	endued
indues	endues
indurance	endurance
infatyated	infatuated
inferreth	infers
infold	enfold
inforced	enforced
ingin	indian
inions	onions
inkwhich'd	inkwhiched
innercent	innocent
innured	enured
insconce	ensconce
insculped	ensculpted
insinuateth	insinuates
insistes	insists
instructin'	instructing
int'	into
int'rests	interests
intend'st	intendest
intendeth	intends
inter'gatories	interrogatories
inter'gatory	interrogatory
interessed	interested
interestin'	interesting
interferin'	interfering
interrupt'st	interruptest
intirely	entirely
intituled	entitled
intreat	entreat
intreaties	entreaties
intrenched	entrenched
introjuicing	introducing
intructions	instructions
intrusted	entrusted
intuh	into
inuendo's	innuendoes
inuendoes	innuendoes
inveigleth	inveigles
inwards	inward
is'nt	isn't
ish	is
isna	isn't
istead	instead
it'	it
ith	is
itsseln	itself
iudulgencies	indulgencies
iver	ever
ivery	every
iverybody'll	everybody'll
iverythin'	everything
iverything	everything
jack'nape	jackanapes
jack-an-ape	jackanapes
jack-towelling	jack-toweling
jackalls	jackals
janizzaries	janissaries
jarteer	garter
jav'lins	javelins
jaw-bone	jawbone
jawin'	jawing
jes	just
jew'llery	jewelry
jewelled	jeweled
jewess'	jewess's
jined	joined
jis	just
jist	just
jockied	jockeyed
join'st	joinest
joineth	joins
joint-stool	jointstool
jokin	joking
jolt-head	jolthead
joltheads	jolt-heads
jonas-in-the-Whale	jonas-in-the-whale
joosy	juicy
journies	journeys
joyin'	joying
judgeth	judges
judgment	judgement
jumpeth	jumps
jumpin'	jumping
justice'	justice's
justs	jousts
keenning	keening
keep'st	keepest
keepin'	keeping
kend	kenned
kenn'd	kenned
kennelled	kenneled
kep	kept
kept'st	keptest
ketch	catch
ketches	catches
kettle-drum	kettledrum
key-hole	keyhole
kickin'	kicking
kickshawses	kickshaws
kill'st	killest
kill-e	kill
killedst	killedest
killen	kill
killeth	kills
killin'	killing
kind'st	kindest
kindhearted	kind-hearted
kindness'	kindness's
kine	cows
king-Post	king-post
kitchen-Stuff	kitchen-stuff
kitchin	kitchen
knelt	kneeled
knew'st	knewest
knitted	knit
knitteth	knits
knittin'	knitting
knockin'	knocking
knot-grass	knotgrass
know'dst	knewest
know'st	knowest
knowd	knew
knowed	known
knoweth	knows
knowin'	knowing
knuekles	knuckles
kyloes	kylos
l'arnin'	learning
labelled	labeled
labor	labour
labor-saving	labour-saving
labored	laboured
laboring	labouring
labors	labours
labour'st	labourest
labourine	labouring
lack'st	lackest
lack-lustre	lacklustre
laden	loaded
lady-like	ladylike
laid'st	laidest
laiking	liking
lament'st	lamentest
lanceth	lances
lang	long
langer	longer
langest	longest
langour	languor
languisheth	languishes
lanthorn	lantern
larming	learning
larn	learn
larnin	learning
larning	learning
larnt	learned
larum	alarm
latin	Latin
laugh'st	laughest
laugheth	laughs
laughin'	laughing
laund	land
lavin'	laving
law-List	law-list
law-Writing	law-writing
law-breaker	lawbreaker
lay'st	layest
layed	laid
layeth	lays
layin'	laying
layn	lain
lead'st	leadest
leaded	led
leadeth	leads
leant	leaned
leap-frog	leapfrog
leaped	leapt
leapin'	leaping
learnd	learned
learnt	learned
leavin'	leaving
led'st	leddest
leeding	leading
leese	lose
leetle	little
leived	believed
len'	lend
lendeth	dares
lenght	length
lente	leaned
let'st	lettest
let-a	let
letten	let
lettin'	letting
lettrs	letters
leuked	looked
leve	leave
levelled	leveled
levelling	leveling
levre	lever
libbard's	leopard's
libelling	libeling
lick'st	lickest
lien	lain
lieth	lies
lieut	lieutenant
lieutenant-Colonel	lieutenant-colonel
lieutenant-Colonels	lieutenant-colonels
lieutenant-General	lieutenant-general
life-Buoy	life-buoy
life-blood	lifeblood
life-time	lifetime
liftin'	lifting
light-colored	light-coloured
light-foot	lightfoot
lightening	lightning
lighteth	lights
lik'st	likest
likedst	likedest
likin'	liking
lime-kiln	limekiln
limekilns	lime-kilns
liquor	liquour
liquors	liquours
lissom'st	lissomest'
listeth	lists
littl'	little
little-a	little
liv'st	livest
livedst	livedest
liveth	lives
livin'	living
lkie	like
loaden	loaded
loike	like
loikes	likes
long'st	longest
long-a	long
long-favored	long-favoured
long-tail	longtail
look'd	looked
look'dst	lookedest
look'st	lookest
look-e	look
look-out	lookout
lookedst	lookedest
looketh	looks
lookin	looking
lookin'	looking
lookst	lookest
loop-holes	loopholes
loose-Fish	loose-fish
loosing	losing
loove's	love's
lor	lord
lor'	lord
loseth	loses
losin'	losing
loth	loath
loud'st	loudest
louis-Quatorze-gimcracks	louis-quatorze-gimcracks
lour'st	lourest
loureth	lours
lov'd	loved
love-Truths	love-truths
love-a	love
love-letters	loveletters
love-sick	lovesick
love-songs	lovesongs
lovedst	lovedest
loveth	loves
lovin'	loving
loyal'st	loyalest
lurketh	lurks
lusts	lustest
lute-string	lutestring
lym	lyam
lyon	lion
l’Écossaise	l’écossaise
ma'	make
ma'-shift	makeshift
ma'am	madam
ma'in'	making
mabbe	maybe
mach	much
mad'st	madest
mad-brain	madbrain
mad-brained	madbrained
mad-headed	madheaded
mae	more
maggit's	maggot's
main-top	maintop
maine	main
mained	maimed
mair	more
maist	mayest
maister	master
maister's	master's
maisters	masters
majestee	majesty
major-General	major-general
mak	make
make-a	make
maketh	makes
makin'	making
makking	making
maks	makes
malecontent	malcontent
malic	malice
mammas	mamas
man-child	manchild
man-like	manlike
man-of-War's	man-of-war's
man-queller	manqueller
manifactures	manufactures
manor-House	manor-house
mantle-piece	mantlepiece
manœuvred	manoeuvered
mar'ge	marriage
mar'ied	married
marble-hearted	marblehearted
marchant	merchant
marcheth	marches
marcies	mercies
marcy	mercy
margent	margin
margents	margins
mark'd	marked
mark-man	markman
marketh	marks
marning	morning
marquess	marquis
marr'in'	marrying
marr'ing	marrying
marriage-bed	marriagebed
marryin	marrying
marshall'st	marshalest
marshalled	marshaled
marshalling	marshaling
marvell'st	marvelest
marvelled	marveled
marvelling	marveling
mas'r	master
mas'r'll	master'll
mas'r's	master's
mas'rs	masters
masse	mass
mast-Head	mast-head
master-pieces	masterpieces
masterfu'	masterful
mat-Maker	mat-maker
match-making	matchmaking
matcheth	matches
mater'als	materials
math'matics	mathematics
matter-a	matter
maun	must
may'st	mayest
mayna	mayn't
mayst	mayest
meagre	meager
mean'st	meanest
meaneth	means
meant'st	meantest
measter's	master's
mebbe	maybe
med'cinable	medicinable
meditatin'	meditating
meet'st	meetest
meet-a	meet
meetin	meeting
meetin'	meeting
meetin's	meeting's
meeting-place	meetingplace
meks	makes
melancholly	melancholy
melo-dramas	melodramas
melo-dramatic	melodramatic
melteth	melts
meltin'	melting
mementoes	mementos
memoranda	memorandum
memorandums	memoranda
memorize	memorise
men-of-War	men-of-war
menage	manage
mendin'	mending
mens'	men's
menservants	manservants
merks	marks
mervailous	marvelous
mesdames	madames
mesters	masters
met'orological	meteorological
met'st	mettest
methoughts	methought
mi-Lord	mylord
mickle	much
mid-day	midday
might'st	mightest
mightst	mightest
milch-kine	milk-cows
mile'	miles
mile-a	mile
milk-House	milk-house
milk-sop	milksop
milk-white	milkwhite
milor	milord
min	man
min'	man
minit	minute
minsthrel	minstrel
mis'able	miserable
mis'rable	miserable
mis-dread	misdread
mis-judging	misjudging
mis-judgment	misjudgment
mis-termed	mistermed
misbegot	misbegotten
misdoubteth	misdoubts
misfortanes	misfortunes
mislikins	mislikings
misse	miss
misshaped	misshapen
missin'	missing
missis'	missis's
missus	missis
mista'en	mistaken
mistak'st	mistakest
mistaketh	mistakes
mistres	mistress
mistress'	mistress's
mistresship	mistress-ship
mitch	much
mlud	milord
moche	much
mock'st	mockest
mockvater	mockwater
mod'rn	modern
modelled	modeled
modelling	modeling
moe	more
moin	mine
molten	melted
monies	moneys
mony	money
moralize	moralise
moreo'er	moreover
morever	moreover
mornin'	morning
mosquitos	mosquitoes
mosse	moss
mother-wit	motherwit
mottos	mottoes
mought	might
mouldeth	moulds
moulten	moulted
mounteth	mounts
mourn'd	mourned
mouse-trap	mousetrap
mousquetaires	musketeers
mout	mouth
moveable	movable
moveables	movables
moveth	moves
mr	Mr.
mr.	Mr.
mrs	Mrs.
mrs.	Mrs.
muh	may
muleters	muleteers
mumn't	mustn't
mun	must
mun'n't	mustn't
munn't	mustn't
munna	mustn't
munny	money
murd'ring	murdering
murder'd	murdered
murder'st	murderest
murmur'st	murmurest
murther	murder
murthering	murdering
mus'n't	mustn't
mush	much
musket's-Mother	musket's-mother
musn't	mustn't
mustna	mustn't
mutine	mutiny
mutiners	mutineers
mutsn't	mustn't
mutter'd	muttered
mysel	myself
mysel'	myself
mysell	myself
n'old	wouldn't
n't	not
n-no	no
na'	not
nae	no
naebody	nobody
naething	nothing
nah	no
naig	nag
naigs	nags
nailes	nails
nane	none
narrowin'	narrowing
nat'lly	naturally
nat'ral	natural
nat'rally	naturally
nathless	natheless
nathlesses	natheless
natur	nature
natur'	nature
natur's	nature's
naught	nought
nayther	neither
nayver	never
naïIvely	naïively
nd	and
ne'er	never
ne'er-cloying	never-cloying
ne'er-do-good	never-do-good
ne'er-do-weel	never-do-well
ne'er-lust-wearied	never-lust-wearied
ne'er-touched	never-touched
ne'er-yet-beaten	never-yet-beaten
ne'erchanging	never-changing
ne'ertheless	nevertheless
near'st	nearest
neat-herd's	neatherd's
neat-herds	neatherds
neaw	now
nebour	neighbour
neebors	neighbours
need'st	needest
needeth	needs
needna	needn't
neeght	night
neele	needle
neerest	nearest
neerly	nearly
neglect'st	neglectest
negociating	negotiating
neighbor	neighbour
neighbored	neighboured
neighboring	neighbouring
neighbors	neighbours
neightbours	neighbours
nereides	nereids
nett	net
nevare	never
nevvy	nephew
new'st	newest
new-come	newcome
new-fall'n	new-fallen
new-fangled	newfangled
new-found	newfound
new-ta'en	new-taken
news-Letter	news-letter
night-Hag	night-hag
night-Watch	nightwatch
night-bird	nightbird
night-cap	nightcap
night-caps	nightcaps
night-gown	nightgown
night-mare	nightmare
night-walking	nightwalking
night-watch	nightwatch
nill	won't
nine-fold	ninefold
niver	never
nivir	never
no!	no
no-bodies	nobodies
noa	not
noabody	nobody
nob'dy	nobody
nod-Ay	nod-ay
noder	another
non-existence	nonexistence
non-payment	nonpayment
noo	no
noon-day	noonday
nor'	north
nor'ard	northward
nor-Westers	nor-westers
north'ard	northward
north-West	northwest
north-east	northeast
north-west	northwest
not'ing	nothing
note-book	notebook
noteth	notes
nother	neither
nothin	nothing
nothin'	nothing
nothink	nothing
nough	enough
nourisheth	nourishes
nousle	nuzzle
now-a-days	nowadays
nowhar	nowhere
nowheres	nowhere
nowt	nought
nto	unto
